"content","code","description"
"Condition d'emploi","temp|1|1","En contrat d'apprentissage ou de professionnalisation"
"Condition d'emploi","temp|1|2","Placés par une agence d'intérim"
"Condition d'emploi","temp|1|3","Emplois aidés (contrat unique d'insertion, d'initiative emploi, d'accompagnement dans l'emploi, avenir, etc.)"
"Condition d'emploi","temp|1|4","Stagiaires rémunérés en entreprise"
"Condition d'emploi","temp|1|5","Autres emplois à durée limitée, CDD, contrat court, saisonnier, vacataire, etc."
"Condition d'emploi","temp|1|6","Emplois sans limite de durée, CDI, titulaire de la fonction publique"
"Condition d'emploi","temp|2|1","Non salariés : Indépendants"
"Condition d'emploi","temp|2|2","Non salariés : Employeurs"
"Condition d'emploi","temp|2|3","Non salariés : Aides familiaux"
