"content","code","description"
"Type d'activité","act11","Actifs ayant un emploi, y compris sous apprentissage ou en stage rémunéré."
"Type d'activité","act12","Chômeurs"
"Type d'activité","act21","Retraités ou préretraités"
"Type d'activité","act22","Elèves, étudiants, stagiaires non rémunéré de 14 ans ou plus"
"Type d'activité","act23","Moins de 14 ans"
"Type d'activité","act24","Femmes ou hommes au foyer"
"Type d'activité","act25","Autres inactifs"
