"content","code","description"
"Catégorie socioprofessionnelle en 8 postes","cs81","Agriculteurs exploitants"
"Catégorie socioprofessionnelle en 8 postes","cs82","Artisans, commerçants et chefs d'entreprise"
"Catégorie socioprofessionnelle en 8 postes","cs83","Cadres et professions intellectuelles supérieures"
"Catégorie socioprofessionnelle en 8 postes","cs84","Professions Intermédiaires"
"Catégorie socioprofessionnelle en 8 postes","cs85","Employés"
"Catégorie socioprofessionnelle en 8 postes","cs86","Ouvriers"
"Catégorie socioprofessionnelle en 8 postes","cs87","Retraités"
"Catégorie socioprofessionnelle en 8 postes","cs88","Autres personnes sans activité professionnelle"
